OBJECTID_12,Join_Count,TARGET_FID,OBJECTID,PRI_NEIGH_,PRI_NEIGH,SEC_NEIGH_,SEC_NEIGH,f1,f2,f3,f4,f5,f6,objectid_1,pri_neigh_1,excel_id,ID,Case_Number,Date_,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year_,Updated_On,Latitude,Longitude,Location,Shape_Length,Shape_Area
1,98,1,76,210,West Humboldt Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,190000,West Humboldt Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403318&regionType=8&service=chart,169,West Humboldt Park,{16F5C5E6-C9A4-4D14-AF1D-892D8C3BEAFD},10174722,HY362488,07/30/2015 08:45:00 PM,042XX W CRYSTAL ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2534,25,37,23,3,1148086,1907957,2015,08/06/2015 02:45:40 PM,41.903381973000002,-87.731490918999995,"(41.903381973, -87.731490919)",21387.101378778894000,28430625.243802160000000
2,14,2,77,014,Beverly, , ,0.165960940000000,37.015335729999997,69338.662567189996000,318100,Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=272951&regionType=8&service=chart,185,Beverly,{68D4E926-6916-42F2-BF6E-8EBC58ED12B7},10104540,HY292128,06/08/2015 01:20:00 AM,099XX S LEAVITT ST,320,ROBBERY,ARMED: HANDGUN,STREET,false,false,2213,22,19,72,3,1163409,1838890,2015,06/15/2015 12:41:15 PM,41.713545091000000,-87.677143174999998,"(41.713545091, -87.677143175)",36115.737285128984000,49618726.720798790000000
3,6,3,78,080,Hegewisch, , ,0.221750310000000,34.134597880000001,42795.345553879997000,112500,Hegewisch,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138732&regionType=8&service=chart,212,Hegewisch,{B83FA76E-8697-452E-B81B-AA35E5904932},10108911,HY297616,06/12/2015 04:50:00 AM,132XX S CARONDOLET AVE,320,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,false,false,433,4,10,55,3,1198396,1817968,2015,06/19/2015 01:10:05 PM,41.655329856999998,-87.549706885000006,"(41.655329857, -87.549706885)",26227.768626828114000,30045719.515701674000000
4,31,4,2,107,Lincoln Park, , ,0.620923880000000,32.531215799999998,63738.491109260001000,522100,Lincoln Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269590&regionType=8&service=chart,165,Lincoln Park,{52781948-EF1C-4A7E-9E94-8575A18287CF},10173564,HY361407,07/30/2015 04:10:00 AM,003XX W WEBSTER AVE,313,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,1814,18,43,7,3,1173851,1914973,2015,08/06/2015 02:45:40 PM,41.922099187000001,-87.636641585000007,"(41.922099187, -87.636641585)",16256.942027264713000,14025069.455794424000000
5,3,5,3,108,Lincoln Square,160,Ravenswood,0.681378230000000,34.854422540000002,39864.811154370000000,308000,Lincoln Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269591&regionType=8&service=chart,29,Lincoln Square,{00A282FB-9269-4DA6-87C8-E7CC6ADA6B78},9913320,HY102333,01/03/2015 01:11:00 AM,049XX N LEAVITT ST,330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,2031,20,47,4,3,1160742,1933088,2015,03/04/2015 12:44:38 PM,41.972089935000000,-87.684303702999998,"(41.972089935, -87.684303703)",9758.873692685479900,5738555.153480403100000
6,33,6,5,112,Longwood Manor, , ,0.000000000000000,0.000000000000000,0.000000000000000,170000,Longwood Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403376&regionType=8&service=chart,226,Longwood Manor,{2A95C6C3-D0B8-4DEF-B616-0213B52D6F45},10169645,HY357973,07/27/2015 12:00:00 PM,095XX S LA SALLE ST,330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,511,5,21,49,3,1176914,1841893,2015,08/03/2015 12:43:37 PM,41.721492652000002,-87.627592914999994,"(41.721492652, -87.627592915)",30058.908146078462000,28834696.868142631000000
7,12,7,6,144,Palmer Square,111,Logan Square,0.000000000000000,0.000000000000000,0.000000000000000,340000,Palmer Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403314&regionType=8&service=chart,223,Palmer Square,{E7B56790-5F26-4413-9AB2-454A85D6EDA4},10177387,HY365448,08/02/2015 01:20:00 AM,031XX W BELDEN AVE,320,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1414,14,26,22,3,1155063,1915283,2015,08/09/2015 12:45:24 PM,41.923347960000001,-87.705665819000004,"(41.92334796, -87.705665819)",13674.320798153485000,9129897.522839572300000
8,116,8,7,113,The Loop, , ,0.515754930000000,24.446417109999999,67728.034307719994000,333800,The Loop,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269593&regionType=8&service=chart,205,The Loop,{7A303E4F-3F31-4CFE-BE0A-555E0BA9FE38},10179903,HY368266,08/04/2015 03:30:00 AM,0000X W LAKE ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,111,1,42,32,3,1175886,1901701,2015,08/11/2015 01:05:14 PM,41.885634586000002,-87.629564556999995,"(41.885634586, -87.629564557)",18122.087468069942000,17675436.730818253000000
9,4,9,8,116,Margate Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,142300,Margate Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403266&regionType=8&service=chart,4,Margate Park,{996C7A65-DFAC-42B4-9F2B-7DF639AD0166},10133749,HY322406,06/30/2015 04:10:00 PM,009XX W LAWRENCE AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,2024,20,48,3,3,1169161,1932107,2015,07/07/2015 12:43:56 PM,41.969218849000001,-87.653374458000002,"(41.969218849, -87.653374458)",7581.707551478607500,2953381.575864176700000
10,8,10,11,119,Marynook, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Marynook,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403358&regionType=8&service=chart,60,Marynook,{FAE4B7BF-F425-4146-9965-827C257FDEF5},10156184,HY344842,07/17/2015 07:15:00 PM,011XX E 83RD ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,412,4,8,45,3,1185375,1850153,2015,07/24/2015 12:43:46 PM,41.743964476000002,-87.596343091999998,"(41.743964476, -87.596343092)",13037.742416085553000,10161599.006157305000000
